serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
80,ER1059A,ER1059A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,14,7,18KT YELLOW GOLD,3.87,3.846,7977,3269,ROUND,SI,GH,6,0.12,8400,12360,,,0,0,0,196,19842,236,23842,
81,ER1127A,ER1127A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold,,29.7,9.9,18KT YELLOW GOLD,5.07,4.956,10279,4213,ROUND,SI,GH,48,0.57,39900,58710,,,0,0,0,544,54936,732,73934,
82,ER0561A,ER0561A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,23.5,18,18KT YELLOW GOLD,7.51,6.982,14481,5935,ROUND,SI,GH,78,0.38,26600,39140,SWAROVSKI GREEN,ROUND,80,2.26,4000,510,51526,636,64192,
83,ER0567A,ER0567A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Floral Fantasy:Romancing Rocks,,37.45,13.85,18KT YELLOW GOLD,6.47,5.468,11341,4648,ROUND,SI,GH,14,0.14,9800,14420,"CITRINE,AMETHYST","OVAL,PEAR",14,4.87,8285,341,34415,387,39081,
84,ER0570A,ER0570A,EARRINGS,BAALIS/HUGGIES:JHUMKAS,CLASSIC,Candid Celebrations:Glitz & Gold:Just Jhumkas,,28.4,16.5,18KT YELLOW GOLD,11.44,9.288,19264,6966,ROUND,SI,GH,68,0.41,28700,42230,CREAM PEARL,ROUND,24,10.35,2070,570,57570,705,71235,
85,ER1429A,ER1429A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,44.1,13.9,18KT YELLOW GOLD,9.64,9.494,19691,7120,ROUND,SI,GH,126,0.73,51100,75190,,,0,0,0,779,78690,1020,103021,
86,ER1145A,ER1145A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Symmetric Splendour,,43.1,20.9,18KT YELLOW GOLD,8.1,7.836,16253,5877,ROUND,SI,GH,78,0.36,25200,37080,SWAROVSKI RED,ROUND,82,0.96,4100,514,51944,633,63943,
87,ER1197A,ER1197A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Black Beauty:Candid Celebrations:Drops & Domes,,42.9,11.5,18KT YELLOW GOLD,11.73,6.92,14353,5882,ROUND,SI,GH,56,0.63,44100,64890,"CREAM PEARL,SMOKY QUARTZ","ROUND,PEAR",4,23.42,4524,689,69548,896,90545,
88,ER1116A,ER1116A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Daily Dazzle,,39.5,13,18KT YELLOW GOLD,7.07,6.818,14141,5795,ROUND,SI,GH,94,0.66,46200,67980,SWAROVSKI GREEN,ROUND,52,0.6,2600,687,69423,905,91421,
89,ER1111A,ER1111A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes,,25.3,8,18KT YELLOW GOLD,4.13,2.586,5364,2457,ROUND,SI,GH,26,0.43,30100,44290,CREAM PEARL,ROUND,2,7.29,911,388,39220,530,53552,
90,ER1109A,ER1109A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,63,10.2,18KT YELLOW GOLD,10.64,9.126,18928,6844,ROUND,SI,GH,152,1.16,81200,119480,"RHODOLITE,BLUE TOPAZ","OVAL,OCTAGON",6,6.41,7257,1142,115371,1525,154034,
91,ER1103A,ER1103A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes,,43,10,18KT YELLOW GOLD,6.69,3.726,7728,3167,ROUND,SI,GH,24,0.49,34300,50470,CREAM PEARL,ROUND,2,14.33,1791,470,47456,632,63788,
92,ER1202A,ER1202A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Irresistible Illusions,,14.4,12.2,18KT YELLOW GOLD,5.66,5.546,11503,4714,ROUND,SI,GH,74,0.57,39900,58710,,,0,0,0,561,56678,749,75676,
93,ER1010A,ER1010A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,35.9,15,18KT YELLOW GOLD,15.02,14.576,30232,10932,ROUND,SI,GH,132,0.82,57400,84460,"SWAROVSKI RED,AMETHYST","ROUND,PEAR",40,1.4,4060,1026,103650,1297,130981,
94,ER0222A,ER0222A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,7.25,7.25,18KT YELLOW GOLD,3.09,3.054,6334,2596,ROUND,SI,GH,8,0.18,12600,18540,,,0,0,0,215,21745,275,27745,
95,ER1436A,ER1436A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle,,13.25,9.25,18KT YELLOW GOLD,3.2,3.036,6297,2581,ROUND,SI,GH,138,0.82,57400,84460,,,0,0,0,663,66941,933,94271,
96,ER1190A,ER1190A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle,,17.5,13.3,18KT YELLOW GOLD,6.97,6.772,14046,5756,ROUND,SI,GH,164,0.99,69300,101970,,,0,0,0,891,89993,1218,122990,
97,ER1086A,ER1086A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,40.6,20,18KT YELLOW GOLD,10.39,10.258,21276,7693,ROUND,SI,GH,106,0.66,46200,67980,,,0,0,0,752,75921,969,97918,
98,ER1158A,ER1158A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold,,43,9.8,18KT YELLOW GOLD,7.18,7.084,14693,5313,ROUND,SI,GH,94,0.48,33600,49440,,,0,0,0,536,54142,694,70140,
99,ER1001A,ER1001A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Drops & Domes,,35.5,8,18KT YELLOW GOLD,6.16,4.638,9620,3942,ROUND,SI,GH,28,0.35,24500,36050,CREAM PEARL,ROUND,2,7.26,908,390,39360,505,51025,
100,ER1506A,ER1506A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks,,14.9,14,18KT YELLOW GOLD,6.57,4.684,9715,3981,ROUND,SI,GH,4,0.25,17500,25750,"CITRINE,AMETHYST","OCTAGON,OCTAGON",4,9.18,8262,395,39853,477,48185,
101,ER1188A,ER1188A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes:Romancing Rocks,,23.45,8,18KT YELLOW GOLD,4.05,2.482,5148,2358,ROUND,SI,GH,36,0.2,14000,20600,"AMETHYST,CREAM PEARL","PEAR,ROUND",4,7.64,1990,235,23731,301,30397,
102,ER0004A,ER0004A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Glitz & Gold,,35.6,10,18KT YELLOW GOLD,3.47,3.35,6948,2848,ROUND,SI,GH,68,0.6,42000,61800,,,0,0,0,518,52314,716,72312,
103,ER1120A,ER1120A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,46.3,17.3,18KT YELLOW GOLD,14.96,14.116,29278,10587,ROUND,SI,GH,86,0.78,54600,80340,"AMETHYST,AMETHYST,CITRINE","OVAL,OVAL,OVAL",6,3.44,8680,1031,104176,1289,130174,
104,ER1005A,ER1005A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Daily Dazzle:Drops & Domes:Irresistible Illusions:Romancing Rocks,,32,6.4,18KT YELLOW GOLD,4.89,4.466,9263,3796,ROUND,SI,GH,22,0.19,13300,19570,BLUE TOPAZ,PEAR,2,1.93,3860,302,30521,365,36854,
105,ER1082A,ER1082A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,45.9,18.4,18KT YELLOW GOLD,11.59,8.452,17530,6339,ROUND,SI,GH,196,0.98,68600,100940,"CREAM PEARL,CITRINE","ROUND,PEAR",4,14.71,3075,955,96499,1279,129163,
106,ER1061A,ER1061A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,16.3,9.5,18KT YELLOW GOLD,3.97,3.938,8168,3347,ROUND,SI,GH,14,0.16,11200,16480,,,0,0,0,227,22942,280,28275,
107,ER1091A,ER1091A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,35,22.35,18KT YELLOW GOLD,9.32,8.8,18252,6600,ROUND,SI,GH,114,0.65,45500,66950,RAINFOREST GREEN TOPAZ,ROUND,2,1.95,3900,743,74995,957,96659,
108,ER1107A,ER1107A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,42.7,7.2,18KT YELLOW GOLD,6.76,5.92,12279,5032,ROUND,SI,GH,104,0.78,54600,80340,"BLUE TOPAZ,BLUE TOPAZ,AMETHYST","PEAR,PEAR,PEAR",6,3.42,7080,790,79781,1047,105778,
109,ER1055A,ER1055A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Romancing Rocks,,15.9,9.25,18KT YELLOW GOLD,5.15,4.92,10205,4182,ROUND,SI,GH,76,0.56,39200,57680,RAINFOREST GREEN TOPAZ,ROUND,2,0.59,1770,554,55911,738,74575,
110,ER1179A,ER1179A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,44.25,14.2,18KT YELLOW GOLD,8.06,4.912,10188,4175,ROUND,SI,GH,90,0.52,36400,53560,"CREAM PEARL,RAINFOREST GREEN TOPAZ","ROUND,PEAR",4,15.22,2909,537,54209,708,71540,
111,ER0596A,ER0596A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Irresistible Illusions,,34.38,10.72,18KT YELLOW GOLD,7.78,6.934,14382,5894,ROUND,SI,GH,26,0.53,37100,54590,SWAROVSKI GREEN,ROUND,134,3.7,6700,641,64717,816,82382,
112,ER1182A,ER1182A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Romancing Rocks,,14.7,12.1,18KT YELLOW GOLD,5.61,3.644,7558,3097,ROUND,SI,GH,4,0.25,17500,25750,"CITRINE,RAINFOREST GREEN TOPAZ","OCTAGON,OVAL",4,9.58,11438,396,39989,478,48321,
113,ER1002A,ER1002A,EARRINGS,STUDS/DROPS:BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,31.2,6.2,18KT YELLOW GOLD,7.03,6.562,13610,5578,ROUND,SI,GH,102,0.71,49700,73130,RHODOLITE,PEAR,6,1.63,4890,738,74516,972,98180,
114,ER1083A,ER1083A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,33,14,18KT YELLOW GOLD,6.07,5.744,11914,4882,ROUND,SI,GH,126,0.65,45500,66950,RHODOLITE,PEAR,2,0.98,2940,652,65888,867,87553,
115,ER1162A,ER1162A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,39,20,18KT YELLOW GOLD,8.32,7.988,16568,5991,ROUND,SI,GH,212,0.99,69300,101970,RHODOLITE,ROUND,2,0.67,2010,939,94808,1265,127804,
116,ER1407A,ER1407A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,9.15,9.15,18KT YELLOW GOLD,3.5,3.18,6596,2703,ROUND,SI,GH,88,0.46,32200,47380,BLAZING RED TOPAZ,PRINCESS,2,1.14,2280,438,44217,590,59549,
117,ER0536A,ER0536A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,27,14.43,18KT YELLOW GOLD,9.74,9.528,19762,7146,ROUND,SI,GH,134,0.62,43400,63860,RAINFOREST GREEN TOPAZ,OVAL,2,0.44,1540,718,72566,923,93231,
118,ER0577A,ER0577A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold,,38.32,12.35,18KT YELLOW GOLD,4.63,4.198,8707,3568,ROUND,SI,GH,26,0.18,12600,18540,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,BRIGHT GOLD PEARL","ROUND,OVAL,ROUND",6,1.98,3696,286,28857,345,34856,
119,ER1144A,ER1144A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold:Irresistible Illusions,,28.6,8.4,18KT YELLOW GOLD,5.15,5.04,10453,4284,ROUND,SI,GH,58,0.55,38500,56650,,,0,0,0,532,53769,714,72101,
120,BR0027A,BR0027A,BRACELETS,BANGLES,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,63,63,18KT YELLOW GOLD,20.72,19.744,40951,14808,ROUND,SI,GH,96,0.53,37100,54590,"SWAROVSKI RED,RAINFOREST GREEN TOPAZ","ROUND,OVAL",90,4.35,7500,1004,101363,1178,119027,
121,BR0001A,BR0001A,BRACELETS,OVAL,EXCLUSIVE,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,48,58,18KT YELLOW GOLD,19.3,18.62,38620,13965,ROUND,SI,GH,112,0.86,60200,88580,KASHMIR BLUE TOPAZ,PRINCESS,2,2.54,2540,1153,116478,1437,145142,
122,BR0025A,BR0025A,BRACELETS,BANGLES,CLASSIC,Daily Dazzle:Glitz & Gold,,63,63,18KT YELLOW GOLD,8.94,8.756,18161,6567,ROUND,SI,GH,21,0.92,64400,94760,,,0,0,0,891,90019,1195,120683,
123,BR0023A,BR0023A,BRACELETS,OVAL,CLASSIC,Daily Dazzle:Glitz & Gold,,48,58,18KT YELLOW GOLD,18.38,15.406,31953,11554,ROUND,SI,GH,74,0.51,35700,52530,CREAM PEARL,ROUND,2,14.36,1795,810,81812,978,98810,
124,BR0026A,BR0026A,BRACELETS,BANGLES,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,66,66,18KT YELLOW GOLD,22.78,22.416,46493,16812,ROUND,SI,GH,18,0.51,35700,52530,AMETHYST,OVAL,6,1.31,3275,1023,103303,1191,120301,
125,BR0029A,BR0029A,BRACELETS,OVAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,48,58,18KT YELLOW GOLD,11.94,11.784,24441,8838,ROUND,SI,GH,58,0.35,24500,36050,SWAROVSKI RED,ROUND,58,0.43,2900,607,61286,722,72951,
126,BR0018A,BR0018A,BRACELETS,OVAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,45,55,18KT YELLOW GOLD,11,10.86,22525,8145,ROUND,SI,GH,83,0.56,39200,57680,SWAROVSKI RED,ROUND,5,0.14,250,701,70821,886,89486,
127,ER1099A,ER1099A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Black Beauty:Candid Celebrations:Drops & Domes,,54,13,18KT YELLOW GOLD,16.76,4.384,9093,3726,ROUND,SI,GH,98,0.62,43400,63860,BLACK ONYX,BRIOLETTE,2,61.26,7658,639,64516,843,85180,
128,ER1071A,ER1071A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,28.4,27.3,18KT YELLOW GOLD,9.29,9.04,18750,6780,ROUND,SI,GH,126,0.89,62300,91670,RAINFOREST GREEN TOPAZ,PEAR,2,0.36,1080,889,89799,1183,119463,
129,ER1026A,ER1026A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,32.5,13.7,18KT YELLOW GOLD,8.9,8.43,17485,6322,ROUND,SI,GH,106,0.64,44800,65920,"AMETHYST,SWAROVSKI RED","PEAR,ROUND",126,1.71,8570,772,77949,983,99280,
130,ER0674A,ER0674A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle,,18.8,15.2,18KT YELLOW GOLD,6.21,5.61,11636,4768,ROUND,SI,GH,42,1.19,83300,122570,SWAROVSKI GREEN,ROUND,156,1.81,7800,1075,108579,1468,148242,
131,ER1030A,ER1030A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations,,25,21,18KT YELLOW GOLD,10.12,9.938,20612,7454,ROUND,SI,GH,164,0.91,63700,93730,,,0,0,0,918,92684,1218,123014,
132,ER0535A,ER0535A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Candid Celebrations:Glitz & Gold:Just Jhumkas,,25.5,13,18KT YELLOW GOLD,7.77,7.678,15925,5758,ROUND,SI,GH,110,0.46,32200,47380,,,0,0,0,539,54422,691,69754,
133,ER1191A,ER1191A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,15.5,8.6,18KT YELLOW GOLD,3.5,3.456,7168,2938,ROUND,SI,GH,34,0.22,15400,22660,,,0,0,0,255,25761,328,33094,
134,ER1509A,ER1509A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks,,14.6,10.3,18KT YELLOW GOLD,5.26,3.688,7649,3135,ROUND,SI,GH,4,0.27,18900,27810,"CITRINE,RAINFOREST GREEN TOPAZ","OVAL,OVAL",4,7.59,10180,399,40263,488,49262,
135,ER1507A,ER1507A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks:Symmetric Splendour,,16.5,10.3,18KT YELLOW GOLD,6.28,4.258,8831,3619,ROUND,SI,GH,4,0.29,21460,30450,"BLUE TOPAZ,AMETHYST","ROUND,ROUND",4,9.82,11270,452,45632,542,54712,
136,ER1175A,ER1175A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,48.8,26.9,18KT YELLOW GOLD,13.24,12.96,26880,9720,ROUND,SI,GH,38,0.34,23800,35020,BLAZING RED TOPAZ,PRINCESS,2,1.06,2120,625,63145,737,74477,
137,ER0568A,ER0568A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold:Just Jhumkas:Romancing Rocks,,28.14,13.61,18KT YELLOW GOLD,9.83,9.572,19853,7179,ROUND,SI,GH,122,0.44,30800,45320,"RAINFOREST GREEN TOPAZ,SWAROVSKI GREEN","OVAL,ROUND",16,0.85,2310,601,60743,747,75409,
138,ER0630A,ER0630A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,35,14,18KT YELLOW GOLD,9.39,8.712,18069,6534,ROUND,SI,GH,102,0.46,32200,47380,"RAINFOREST GREEN TOPAZ,SWAROVSKI RED","PEAR,ROUND",106,2.93,7660,645,65108,796,80439,
139,ER1508A,ER1508A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks,,14.3,10.3,18KT YELLOW GOLD,4.86,3.604,7475,3063,ROUND,SI,GH,4,0.19,13300,19570,"CITRINE,AMETHYST","OVAL,ROUND",4,6.09,7460,313,31611,376,37944,
140,ER1161A,ER1161A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,33,20,18KT YELLOW GOLD,10.1,9.414,19525,7060,ROUND,SI,GH,180,1.19,83300,122570,"SWAROVSKI RED,RAINFOREST GREEN TOPAZ","ROUND,ROUND",108,2.24,7280,1172,118337,1564,157999,
141,ER1413A,ER1413A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Black Beauty:Candid Celebrations:Symmetric Splendour,,34.1,16.7,18KT YELLOW GOLD,9.6,9.14,18957,6855,ROUND,SI,GH,26,0.29,20300,29870,BLACK SPINEL,ROUND,218,2.01,10900,570,57582,666,67248,
142,ER1382A,ER1382A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,37.3,13.7,18KT YELLOW GOLD,9.08,8.674,17991,6506,ROUND,SI,GH,158,1.18,82600,121540,SWAROVSKI RED,ROUND,90,0.85,4500,1116,112713,1505,152042,
143,ER1040A,ER1040A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Drops & Domes,,30,12.6,18KT YELLOW GOLD,14.22,11.894,24669,8920,ROUND,SI,GH,16,0.37,25900,38110,SWAROVSKI GREEN,ROUND,238,11.26,11900,714,72103,836,84435,
144,ER1072A,ER1072A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,25,4,18KT YELLOW GOLD,7.58,7.474,15502,5606,ROUND,SI,GH,86,0.53,37100,54590,,,0,0,0,582,58790,757,76455,
145,ER1058A,ER1058A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,14,4.6,18KT YELLOW GOLD,2.82,2.8,5807,2660,ROUND,SI,GH,16,0.1,7000,10300,,,0,0,0,155,15622,188,18955,
146,ER1187A,ER1187A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,28.95,15.45,18KT YELLOW GOLD,8.9,5.938,12316,5047,ROUND,SI,GH,58,0.46,32200,47380,CREAM PEARL,ROUND,2,14.35,1794,514,51871,665,67202,
147,ER1113A,ER1113A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,36.55,14.55,18KT YELLOW GOLD,7.31,6.672,13838,5671,ROUND,SI,GH,112,0.58,40600,59740,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,SWAROVSKI GREEN","PEAR,OVAL,OVAL,ROUND",12,2.61,8480,686,69275,877,88606,
148,ER1024A,ER1024A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Irresistible Illusions,,30.9,10,18KT YELLOW GOLD,10.69,10.492,21761,7869,ROUND,SI,GH,86,0.74,51800,76220,SWAROVSKI RED,ROUND,32,0.25,1600,830,83860,1074,108524,
149,ER1090A,ER1090A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,25.5,7.4,18KT YELLOW GOLD,2.62,2.576,5343,2447,ROUND,SI,GH,36,0.22,15400,22660,,,0,0,0,232,23422,304,30754,
150,PD1221A,PD1221A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,43.9,15.31,18KT YELLOW GOLD,3.732,2.912,6040,2766,ROUND,SI,GH,46,0.44,30800,45320,CREAM PEARL,ROUND,1,3.66,458,401,40465,546,55130,
151,ER1221A,ER1221A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,36.41,13.75,18KT YELLOW GOLD,6.335,5.577,11567,4740,ROUND,SI,GH,88,0.76,53200,78280,CREAM PEARL,ROUND,2,3.03,455,700,70662,950,95992,
152,ER1157A,ER1157A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Daily Dazzle:Floral Fantasy:Glitz & Gold:Irresistible Illusions,,33.4,7.7,18KT YELLOW GOLD,3.65,3.522,7305,2994,ROUND,SI,GH,36,0.64,44800,65920,,,0,0,0,551,55650,762,76981,
153,PD1299A,PD1299A,PENDANTS,OFFICE WEAR:CASUAL,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold,,26,13,18KT YELLOW GOLD,2.12,2.096,4347,1991,ROUND,SI,GH,18,0.12,8400,12360,,,0,0,0,147,14885,187,18885,
154,ER1299A,ER1299A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold,,20,11.8,18KT YELLOW GOLD,4.48,4.442,9213,3776,ROUND,SI,GH,32,0.19,13300,19570,,,0,0,0,263,26552,326,32885,
155,ER1044A,ER1044A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Romancing Rocks,,15.4,1.8,18KT YELLOW GOLD,2.65,2.51,5206,2384,ROUND,SI,GH,20,0.31,21700,31930,SWAROVSKI GREEN,ROUND,14,0.39,700,300,30290,402,40622,
156,PD1259A,PD1259A,PENDANTS,FASHION:OFFICE WEAR,CLASSIC,Daily Dazzle:Glitz & Gold:Drops & Domes,,22.8,15,18KT YELLOW GOLD,3.048,2.984,6189,2835,ROUND,SI,GH,40,0.32,22400,32960,,,0,0,0,314,31738,420,42404,
157,ER1259A,ER1259A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Drops & Domes:Glitz & Gold,,29.8,15,18KT YELLOW GOLD,7.462,7.32,15182,5490,ROUND,SI,GH,86,0.71,49700,73130,,,0,0,0,704,71076,938,94740,
158,PD1316A,PD1316A,PENDANTS,OFFICE WEAR:CASUAL,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold,,17.9,12.5,18KT YELLOW GOLD,1.44,1.422,2949,1351,ROUND,SI,GH,4,0.09,6300,9270,,,0,0,0,106,10706,136,13706,
159,ER1316A,ER1316A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold,,17.9,12.5,18KT YELLOW GOLD,4.312,4.28,8877,3638,ROUND,SI,GH,8,0.16,11200,16480,,,0,0,0,237,23952,290,29285,
160,ER0229A,ER0229A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,11,9,18KT YELLOW GOLD,3.017,2.649,5494,2517,ROUND,SI,GH,40,0.29,20300,29870,AMETHYST,ROUND,2,1.55,3100,314,31725,410,41391,
161,ER0191A,ER0191A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,21.06,11.3,18KT YELLOW GOLD,11.95,10.844,22491,8133,ROUND,SI,GH,80,0.6,42000,61800,AMETHYST,ROUND,20,4.93,4930,776,78330,974,98328,
162,ER1015A,ER1015A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Drops & Domes,,35.4,9.6,18KT YELLOW GOLD,5.45,3.928,8147,3339,ROUND,SI,GH,40,0.32,22400,32960,CREAM PEARL,ROUND,2,7.29,911,348,35145,454,45811,
163,ER1128A,ER1128A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,24.65,10.55,18KT YELLOW GOLD,4.61,3.97,8234,3374,ROUND,SI,GH,92,0.52,36400,53560,"AMETHYST,CITRINE","ROUND,OVAL",4,2.68,5840,538,54386,710,71718,
