sku,grade,size,quantity
ER1247A,SI-GH,,BANGALORE=1
ER1248A,SI-GH,,BANGALORE=1
ER1250A,SI-GH,,BANGALORE=1
PD1239A,SI-GH,,BANGALORE=1
ER1252A,SI-GH,,BANGALORE=1
PD1241A,SI-GH,,BANGALORE=1
PD1242A,SI-GH,,BANGALORE=1
ER1253A,SI-GH,,BANGALORE=1
PD1243A,SI-GH,,BANGALORE=1
PD1244A,SI-GH,,BANGALORE=1
PD1245A,SI-GH,,BANGALORE=1
ER1256A,SI-GH,,BANGALORE=1
PD1247A,SI-GH,,BANGALORE=1
PD1248A,SI-GH,,BANGALORE=1
ER1259A,SI-GH,,BANGALORE=1
ER1260A,SI-GH,,BANGALORE=1
PD1250A,SI-GH,,BANGALORE=1
PD1252A,SI-GH,,BANGALORE=1
ER1263A,SI-GH,,BANGALORE=1
PD1253A,SI-GH,,BANGALORE=1
ER1266A,SI-GH,,BANGALORE=1
PD1256A,SI-GH,,BANGALORE=1
ER1268A,SI-GH,,BANGALORE=1
ER1270A,SI-GH,,BANGALORE=1
PD1259A,SI-GH,,BANGALORE=1
PD1260A,SI-GH,,BANGALORE=1
ER1272A,SI-GH,,BANGALORE=1
ER1273A,SI-GH,,BANGALORE=1
PD1263A,SI-GH,,BANGALORE=1
ER1274A,SI-GH,,BANGALORE=1
ER1277A,SI-GH,,BANGALORE=1
PD1266A,SI-GH,,BANGALORE=1
ER1278A,SI-GH,,BANGALORE=1
PD1268A,SI-GH,,BANGALORE=1
ER1280A,SI-GH,,BANGALORE=1
PD1270A,SI-GH,,BANGALORE=1
ER1281A,SI-GH,,BANGALORE=1
ER1282A,SI-GH,,BANGALORE=1
ER1283A,SI-GH,,BANGALORE=1
PD1272A,SI-GH,,BANGALORE=1
PD1273A,SI-GH,,BANGALORE=1
PD1274A,SI-GH,,BANGALORE=1
ER1285A,SI-GH,,BANGALORE=1
ER1287A,SI-GH,,BANGALORE=1
PD1277A,SI-GH,,BANGALORE=1
PD1278A,SI-GH,,BANGALORE=1
ER1290A,SI-GH,,BANGALORE=1
PD1280A,SI-GH,,BANGALORE=1
ER1291A,SI-GH,,BANGALORE=1
PD1281A,SI-GH,,BANGALORE=1
PD1282A,SI-GH,,BANGALORE=1
PD1283A,SI-GH,,BANGALORE=1
PD1284A,SI-GH,,BANGALORE=1
ER1295A,SI-GH,,BANGALORE=1
PD1285A,SI-GH,,BANGALORE=1
ER1297A,SI-GH,,BANGALORE=1
PD1287A,SI-GH,,BANGALORE=1
ER1299A,VVS-EF,,BANGALORE=1
PD1290A,SI-GH,,BANGALORE=1
ER1302A,SI-GH,,BANGALORE=1
ER1303A,SI-GH,,BANGALORE=1
ER1304A,SI-GH,,BANGALORE=1
ER1305A,SI-GH,,BANGALORE=1
PD1295A,SI-GH,,BANGALORE=1
ER1306A,SI-GH,,BANGALORE=1
ER1307A,SI-GH,,BANGALORE=1
PD1297A,SI-GH,,BANGALORE=1
ER1308A,SI-GH,,BANGALORE=1
ER1309A,SI-GH,,BANGALORE=1
ER1310A,SI-GH,,BANGALORE=1
PD1300A,SI-GH,,BANGALORE=1
PD1302A,SI-GH,,BANGALORE=1
ER1313A,SI-GH,,BANGALORE=1
ER1314A,SI-GH,,BANGALORE=1
PD1303A,SI-GH,,BANGALORE=1
PD1304A,SI-GH,,BANGALORE=1
PD1305A,SI-GH,,BANGALORE=1;BLR1=1
PD1306A,SI-GH,,BANGALORE=1
ER1317A,SI-GH,,BANGALORE=1
PD1308A,SI-GH,,BANGALORE=1
ER1319A,SI-GH,,BANGALORE=1
ER1320A,SI-GH,,BANGALORE=1
PD1309A,SI-GH,,BANGALORE=1
PD1310A,SI-GH,,BANGALORE=1
ER1321A,SI-GH,,BANGALORE=1
ER1322A,SI-GH,,BANGALORE=1
ER1323A,SI-GH,,BANGALORE=1
PD1313A,SI-GH,,BANGALORE=1
PD1314A,SI-GH,,BANGALORE=1
PD1315A,SI-GH,,BANGALORE=1
ER1326A,SI-GH,,BANGALORE=1
ER1327A,SI-GH,,BANGALORE=1
ER1328A,SI-GH,,BANGALORE=1
PD1317A,SI-GH,,BANGALORE=1
ER1329A,SI-GH,,BANGALORE=1
ER1330A,SI-GH,,BANGALORE=1
PD1319A,SI-GH,,BANGALORE=1
PD1320A,SI-GH,,BANGALORE=1
ER1332A,SI-GH,,BANGALORE=1
PD1321A,SI-GH,,BANGALORE=1
PD1322A,SI-GH,,BANGALORE=1
PD1323A,SI-GH,,BANGALORE=1
ER1334A,SI-GH,,BANGALORE=1
ER1335A,SI-GH,,BANGALORE=1
PD1326A,SI-GH,,BANGALORE=1
ER1338A,SI-GH,,BANGALORE=1
PD1327A,SI-GH,,BANGALORE=1
PD1328A,SI-GH,,BANGALORE=1
ER1339A,SI-GH,,BANGALORE=1
ER1340A,SI-GH,,BANGALORE=1
PD1330A,SI-GH,,BANGALORE=1;BLR1=1
PD1331A,SI-GH,,BANGALORE=1
PD1332A,SI-GH,,BANGALORE=1
ER1344A,SI-GH,,BANGALORE=1
PD1334A,SI-GH,,BANGALORE=1
ER1349A,SI-GH,,BANGALORE=1
ER1351A,SI-GH,,BANGALORE=1
ER1352A,SI-GH,,BANGALORE=1
ER1354A,SI-GH,,BANGALORE=1
ER1356A,SI-GH,,BANGALORE=1
ER1357A,SI-GH,,BANGALORE=1
ER1364B,SI-GH,,BANGALORE=1
ER1364C,SI-GH,,BANGALORE=1
ER1376A,SI-GH,,BANGALORE=1
ER1382A,SI-GH,,BANGALORE=1
ER1383A,SI-GH,,BANGALORE=1
ER1395A,SI-GH,,BANGALORE=1
ER1398A,SI-GH,,BANGALORE=1
ER1400A,SI-GH,,BANGALORE=1
ER1402A,SI-GH,,BANGALORE=1
ER1412B,SI-GH,,BANGALORE=1
ER1413A,SI-GH,,BANGALORE=1
ER1419A,SI-GH,,BANGALORE=1
ER1420A,SI-GH,,BANGALORE=1
ER1424A,SI-GH,,BANGALORE=1
ER1426A,SI-GH,,BANGALORE=1
ER1427A,SI-GH,,BANGALORE=1
ER1429A,SI-GH,,BANGALORE=1
ER1430A,SI-GH,,BANGALORE=1
ER1432A,SI-GH,,BANGALORE=1
ER1433A,SI-GH,,BANGALORE=1
ER1434A,SI-GH,,BANGALORE=1
ER1435A,SI-GH,,BANGALORE=1
ER1437A,SI-GH,,BANGALORE=1
ER1438A,SI-GH,,BANGALORE=1
PD1453A,SI-GH,,BANGALORE=1
PD1454A,SI-GH,,BANGALORE=1
PD1460A,SI-GH,,BANGALORE=1
PD1461A,SI-GH,,BANGALORE=1
PD1462A,SI-GH,,BANGALORE=1
PD1464A,SI-GH,,BANGALORE=1
PD1465A,SI-GH,,BANGALORE=1
PD1467A,SI-GH,,BANGALORE=1
ER1479A,SI-GH,,BANGALORE=1
PD1468A,SI-GH,,BANGALORE=1
PD1475A,SI-GH,,BANGALORE=1
ER1487A,SI-GH,,BANGALORE=1
ER1493A,SI-GH,,BANGALORE=1
ER1495A,SI-GH,,BANGALORE=1
ER1497A,SI-GH,,BANGALORE=1
ER1500A,SI-GH,,BANGALORE=1
ER1501A,SI-GH,,BANGALORE=1
ER1502A,SI-GH,,BANGALORE=1
ER1503A,SI-GH,,BANGALORE=1
PD1495A,SI-GH,,BANGALORE=1
ER1507A,SI-GH,,BANGALORE=1
PD1497A,SI-GH,,BANGALORE=1
ER1509A,SI-GH,,BANGALORE=1
ER1511A,SI-GH,,BANGALORE=1
ER1515A,SI-GH,,BANGALORE=1
ER1524A,SI-GH,,BANGALORE=1
PD1515A,SI-GH,,BANGALORE=1
PD1524A,SI-GH,,BANGALORE=1
ER1539A,SI-GH,,BANGALORE=1
ER1542B,SI-GH,,BANGALORE=1
ER1545A,SI-GH,,BANGALORE=1
ER1545C,SI-GH,,BANGALORE=1
ER1547A,SI-GH,,BANGALORE=1
ER1548A,SI-GH,,BANGALORE=1
ER1549B,SI-GH,,BANGALORE=1
ER1551A,SI-GH,,BANGALORE=1
ER1552B,SI-GH,,BANGALORE=1
ER1553B,SI-GH,,BANGALORE=1
ER1554A,SI-GH,,BANGALORE=1
ER1556A,SI-GH,,BANGALORE=1
ER1557B,SI-GH,,BANGALORE=1
ER1558B,SI-GH,,BANGALORE=1
ER1559A,SI-GH,,BANGALORE=1
ER1560A,SI-GH,,BANGALORE=1
ER1561B,SI-GH,,BANGALORE=1
ER1564B,SI-GH,,BANGALORE=1
ER1565B,SI-GH,,BANGALORE=1
ER1567A,SI-GH,,BANGALORE=1
ER1568B,SI-GH,,BANGALORE=1
ER1569A,SI-GH,,BANGALORE=1
ER1588A,SI-GH,,BANGALORE=1
PD1578A,SI-GH,,BANGALORE=1
